industry_sectors;sector;process_heat_below_100C;process_heat_100_to_200C;process_heat_200_to_500C;process_heat_above_500C
5;industry;10,4;66,6;23,0;0,0
6;industry;10,4;66,6;23,0;0,0
7;industry;10,4;66,6;23,0;0,0
8;industry;10,4;66,6;23,0;0,0
9;industry;10,4;66,6;23,0;0,0
10;industry;40,0;41,6;9,7;8,7
11;industry;40,0;41,6;9,7;8,7
12;industry;40,0;41,6;9,7;8,7
13;industry;10,4;66,6;23,0;0,0
14;industry;10,4;66,6;23,0;0,0
15;industry;10,4;66,6;23,0;0,0
16;industry;10,4;66,6;23,0;0,0
17;industry;10,3;83,3;4,2;2,2
18;industry;10,3;83,3;4,2;2,2
19;industry;20,0;10,6;2,2;67,2
20;industry;20,0;10,6;2,2;67,2
21;industry;10,4;66,6;23,0;0,0
22;industry;10,4;66,6;23,0;0,0
23;industry;2,0;10,3;14,4;73,3
24;industry;2,5;0,0;2,9;94,6
25;industry;10,4;66,6;23,0;0,0
26;industry;10,4;66,6;23,0;0,0
27;industry;10,4;66,6;23,0;0,0
28;industry;18,2;60,6;21,2;0,0
29;industry;18,2;60,6;21,2;0,0
30;industry;18,2;60,6;21,2;0,0
31;industry;10,4;66,6;23,0;0,0
32;industry;10,4;66,6;23,0;0,0
33;industry;10,4;66,6;23,0;0,0
