industry_sectors;sector;non_energetic_use;space_heating;hot_water;process_heat;mechanical_energy
1;cts;0;0,123310544;0,000598433;0,003093126;0,872997897
2;cts;0;0,123310544;0,000598433;0,003093126;0,872997897
3;cts;0;0,391756583;0,004420596;0;0,603822821
5;cts;0;0,090909091;0;0,909090909;0
6;industry;0;0,090909091;0;0,909090909;0
7;industry;0;0,090909091;0;0,909090909;0
8;industry;0;0,090909091;0;0,909090909;0
9;industry;0;0,090909091;0;0,909090909;0
10;industry;0;0,104761905;0,00952381;0,885714286;0
11;industry;0;0,104761905;0,00952381;0,885714286;0
12;industry;0;0,104761905;0,00952381;0,885714286;0
13;industry;0;0,230769231;0,025641026;0,743589744;0
14;industry;0;0,266666667;0;0,733333333;0
15;industry;0;0,230769231;0,025641026;0,743589744;0
16;industry;0;0,230769231;0,025641026;0,743589744;0
17;industry;0;0,034482759;0;0,965517241;0
18;industry;0;0,230769231;0,025641026;0,743589744;0
19;industry;0;0;0;0,986842105;0,013157895
20;industry;0,898;0,007846154;0;0,094153846;0
21;industry;0,898;0,007846154;0;0,094153846;0
22;industry;0,000297535;0,266587324;0;0,733115141;0
23;industry;0,00343453;0;0;0,99656547;0
24;industry;0,015553399;0,180481877;0,016666667;0,74969395;0,037863331
25;industry;0,00210793;0,365893759;0,033333333;0,598735242;0
26;industry;0;0,230769231;0,025641026;0,743589744;0
27;industry;0;0,230769231;0,025641026;0,743589744;0
28;industry;0,00069783;0,648196002;0,081081081;0,270081668;0
29;industry;0,000795915;0,29606047;0,037037037;0,666136057;0
30;industry;0;0,296296296;0,037037037;0,666666667;0
31;industry;0;0,230769231;0,025641026;0,743589744;0
32;industry;0;0,230769231;0,025641026;0,743589744;0
33;industry;0;0,230769231;0,025641026;0,743589744;0
36;cts;0;0,372;0,004;0,002;0,622
37;cts;0;0,372;0,004;0,002;0,622
38;cts;0;0,983104987;0,016895013;0;0
39;cts;0;0,983104987;0,016895013;0;0
41;cts;0;0,321243656;0,001303042;0;0,677453302
42;cts;0;0,321243656;0,001303042;0;0,677453302
43;cts;0;0,321243656;0,001303042;0;0,677453302
45;cts;0;0,995693584;0,004306416;0;0
46;cts;0;0,995693584;0,004306416;0;0
47;cts;0;0,995693584;0,004306416;0;0
49;cts;0;0,012;0;0;0,988
50;cts;0;0,012;0;0;0,988
51;cts;0;0,06469538;0,000944106;0;0,934360514
52;cts;0;1;0;0;0
53;cts;0;0,983104987;0,016895013;0;0
55;cts;0;0,970928553;0,022871732;0,006199715;0
56;cts;0;0,970928553;0,022871732;0,006199715;0
58;cts;0;0,983104987;0,016895013;0;0
59;cts;0;0,983104987;0,016895013;0;0
60;cts;0;0,983104987;0,016895013;0;0
61;cts;0;0,983104987;0,016895013;0;0
62;cts;0;0,983104987;0,016895013;0;0
63;cts;0;0,983104987;0,016895013;0;0
64;cts;0;0,983104987;0,016895013;0;0
65;cts;0;0,983104987;0,016895013;0;0
66;cts;0;0,983104987;0,016895013;0;0
68;cts;0;0,372;0,004;0,002;0,622
69;cts;0;0,983104987;0,016895013;0;0
70;cts;0;0,983104987;0,016895013;0;0
71;cts;0;0,983104987;0,016895013;0;0
72;cts;0;0,983104987;0,016895013;0;0
73;cts;0;0,983104987;0,016895013;0;0
74;cts;0;0,983104987;0,016895013;0;0
75;cts;0;0,983104987;0,016895013;0;0
77;cts;0;0,372;0,004;0,002;0,622
78;cts;0;0,372;0,004;0,002;0,622
79;cts;0;0,372;0,004;0,002;0,622
80;cts;0;0,372;0,004;0,002;0,622
81;cts;0;0,372;0,004;0,002;0,622
82;cts;0;0,372;0,004;0,002;0,622
84;cts;0;0,983104987;0,016895013;0;0
85;cts;0;0,996478823;0,003521177;0;0
86;cts;0;0,99018143;0;0,00981857;0
87;cts;0;0,970928553;0,022871732;0,006199715;0
88;cts;0;0,372;0,004;0,002;0,622
90;cts;0;0,983104987;0,016895013;0;0
91;cts;0;0,372;0,004;0,002;0,622
92;cts;0;0,372;0,004;0,002;0,622
93;cts;0;0,372;0,004;0,002;0,622
94;cts;0;0,372;0,004;0,002;0,622
95;cts;0;0,372;0,004;0,002;0,622
96;cts;0;0,372;0,004;0,002;0,622
97;cts;0;0,372;0,004;0,002;0,622
98;cts;0;0,372;0,004;0,002;0,622
99;cts;0;0,372;0,004;0,002;0,622
