statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;3_variable_code;3_variable_label;3_variable_attribute_code;3_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label
85121;Energiegesamtrechnung;JAHR;Jahr;2008;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-45-01;Handelsleistungen mit Kfz, Instandh. und Reparatur;ENRG04;Energieträger;PGH221760;Heizöl, schwer;-;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2014;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-J;Informations- und Kommunikationsdienstleistungen;ENRG04;Energieträger;ENR-EB-01;Erneuerbare Energien;263;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-P;Erziehungs- und Unterrichtsdienstleistungen;ENRG04;Energieträger;KFST-DSL-01;Dieselkraftstoffe;1652;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2000;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-03;Fische und Fischereierz., Aquakulturerz., DL;ENRG04;Energieträger;KFST-FLT-01;Flugturbinenkraftstoff;-;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-18;DL d.Vervielf. v. besp.Ton-, Bild- u. Datenträgern;ENRG04;Energieträger;EKT-02;Elektrischer Strom und andere Energieträger;7998;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-21;Pharmazeutische Erzeugnisse;ENRG04;Energieträger;OEL-ERD-01;Erdöl;-;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2016;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-10-01;Nahrungs- u. Futtermittel, Getränke, Tabakerzeugn.;ENRG04;Energieträger;OEL-H-L-01;Heizöl, leicht;7158;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-23;Glas u. Glaswaren, Keramik, verarb. Steine u.Erden;ENRG04;Energieträger;KFST-OTTO-01;Ottokraftstoffe;212;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-31-01;Möbel und Waren, a.n.g.;ENRG04;Energieträger;KFST-OTTO-01;Ottokraftstoffe;155;TJ;ENR001;Verwendung von Energie
85121;Energiegesamtrechnung;JAHR;Jahr;2012;DINSG;Deutschland insgesamt;DG;Deutschland;CP08U3;CPA 2008: Produktionsbereiche (UGR);CPA08-Q;Dienstleistungen des Gesundheits- und Sozialwesens;ENRG04;Energieträger;PGH221760;Heizöl, schwer;2;TJ;ENR001;Verwendung von Energie
