regional_id,number_of_registered_evs
08111,8.397
08115,6.558
08116,6.001
08117,2.296
08118,5.254
08119,4.168
08121,783
08125,3.552
08126,995
08127,1.725
08128,895
08135,832
08136,2.475
08211,673
08212,2.542
08215,4.155
08216,2.264
08221,894
08222,1.944
08225,1.089
08226,5.463
08231,847
08235,1.897
08236,2.090
08237,958
08311,1.640
08315,2.638
08316,1.920
08317,4.002
08325,1.087
08326,1.636
08327,1.217
08335,2.794
08336,2.214
08337,1.701
08415,2.474
08416,1.887
08417,1.456
08421,1.082
08425,1.648
08426,1.979
08435,2.131
08436,2.743
08437,968
09161,3.252
09162,15.529
09163,468
09171,872
09172,801
09173,997
09174,1.304
09175,1.484
09176,1.009
09177,1.281
09178,1.836
09179,1.789
09180,659
09181,1.642
09182,950
09183,988
09184,5.241
09185,711
09186,1.214
09187,2.841
09188,1.999
09189,1.702
09190,1.249
09261,461
09262,383
09263,411
09271,880
09272,449
09273,959
09274,1.458
09275,1.506
09276,469
09277,928
09278,717
09279,990
09361,410
09362,1.367
09363,283
09371,956
09372,843
09373,1.110
09374,656
09375,1.626
09376,990
09377,385
09461,625
09462,611
09463,371
09464,303
09471,1.190
09472,782
09473,688
09474,1.020
09475,611
09476,401
09477,550
09478,450
09479,429
09561,319
09562,815
09563,800
09564,2.723
09565,424
09571,1.431
09572,1.538
09573,1.000
09574,1.525
09575,941
09576,1.055
09577,820
09661,705
09662,385
09663,1.060
09671,1.586
09672,827
09673,999
09674,768
09675,792
09676,799
09677,935
09678,1.073
09679,1.653
09761,1.519
09762,308
09763,634
09764,347
09771,1.178
09772,2.040
09773,645
09774,945
09775,1.260
09776,677
09777,1.274
09778,1.056
09779,989
09780,1.357
11000,16.678
12051,362
12052,315
12053,152
12054,958
12060,992
12061,971
12062,281
12063,1.053
12064,895
12065,1.293
12066,233
12067,771
12068,312
12069,1.613
12070,245
12071,343
12072,964
12073,340
04011,2.581
04012,464
02000,13.078
06411,1.259
06412,6.647
06413,732
06414,8.309
06431,2.266
06432,2.650
06433,1.762
06434,2.472
06435,2.769
06436,2.123
06437,665
06438,2.409
06439,1.798
06440,2.366
06531,1.978
06532,1.667
06533,1.482
06534,1.668
06535,670
06611,1.459
06631,1.752
06632,700
06633,2.349
06634,1.616
06635,1.258
06636,671
13003,803
13004,328
13071,642
13072,906
13073,764
13074,621
13075,927
13076,588
03101,4.823
03102,478
03103,7.112
03151,1.748
03153,763
03154,769
03155,1.028
03157,1.088
03158,1.052
03159,2.168
03241,7.773
03251,1.670
03252,1.038
03254,1.772
03255,407
03256,934
03257,1.368
03351,1.176
03352,1.076
03353,2.346
03354,317
03355,1.491
03356,891
03357,1.298
03358,849
03359,1.441
03360,649
03361,1.007
03401,360
03402,435
03403,1.234
03404,1.346
03405,303
03451,928
03452,1.575
03453,1.121
03454,2.588
03455,761
03456,1.261
03457,1.141
03458,1.005
03459,2.805
03460,1.275
03461,482
03462,326
05111,4.572
05112,1.758
05113,3.339
05114,1.315
05116,1.504
05117,1.183
05119,1.081
05120,701
05122,1.563
05124,2.082
05154,2.242
05158,4.409
05162,3.401
05166,2.423
05170,3.497
05314,2.430
05315,6.060
05316,1.210
05334,4.262
05358,2.414
05362,3.049
05366,1.543
05370,1.787
05374,1.997
05378,2.763
05382,4.414
05512,713
05513,1.032
05515,2.847
05554,3.557
05558,2.110
05562,3.388
05566,4.073
05570,2.362
05711,3.589
05754,3.387
05758,2.388
05762,1.088
05766,3.005
05770,2.645
05774,3.318
05911,2.871
05913,3.684
05914,900
05915,1.160
05916,556
05954,2.376
05958,2.174
05962,2.407
05966,1.021
05970,1.991
05974,2.883
05978,2.733
07111,731
07131,795
07132,886
07133,1.057
07134,393
07135,481
07137,1.545
07138,1.298
07140,836
07141,892
07143,1.541
07211,1.120
07231,819
07232,729
07233,408
07235,1.120
07311,219
07312,693
07313,418
07314,907
07315,1.395
07316,434
07317,247
07318,324
07319,472
07320,261
07331,1.058
07332,1.239
07333,556
07334,890
07335,729
07336,358
07337,1.029
07338,1.095
07339,1.936
07340,642
10041,1.858
10042,691
10043,784
10044,1.248
10045,1.051
10046,593
14511,1.199
14521,1.030
14522,944
14523,909
14524,1.420
14612,2.100
14625,974
14626,581
14627,825
14628,939
14713,2.793
14729,1.204
14730,671
15001,294
15002,689
15003,893
15081,309
15082,434
15083,639
15084,495
15085,919
15086,334
15087,369
15088,628
15089,469
15090,359
15091,340
01001,741
01002,1.542
01003,1.171
01004,694
01051,994
01053,1.574
01054,2.119
01055,1.503
01056,2.568
01057,1.150
01058,2.613
01059,1.955
01060,2.473
01061,977
01062,2.378
16051,1.090
16052,353
16053,466
16054,141
16055,811
16061,509
16062,275
16063,642
16064,422
16065,235
16066,478
16067,507
16068,221
16069,206
16070,551
16071,345
16072,194
16073,317
16074,342
16075,246
16076,297
16077,250
