Statistik;Gebiet;Tabelle;Rechenstand;Merkmal_1;Merkmal_2;Einheit;Jahr;Wert
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Benzin;TJ;2014;30427.554
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Bioethanol;TJ;2014;1323.01
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Diesel;TJ;2014;672099.303
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Biodiesel;TJ;2014;41300.611
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Erdgas;TJ;2014;2626.222
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Flüssiggas (Autogas);TJ;2014;1038.715
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Biogas (Biomethan);TJ;2014;650.774
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Strom;TJ;2014;183.945
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Energieverbrauch der Inländer insgesamt;TJ;2014;749650.133
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Benzin;TJ;2014;811380.34
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Bioethanol;TJ;2014;35284.607
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Diesel;TJ;2014;556827.959
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biodiesel;TJ;2014;34217.459
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Erdgas;TJ;2014;1979.449
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Flüssiggas (Autogas);TJ;2014;21827.815
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biogas (Biomethan);TJ;2014;498.1
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Strom;TJ;2014;65.073
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Energieverbrauch der Inländer insgesamt;TJ;2014;1462080.802
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Benzin;TJ;2014;841807.894
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Bioethanol;TJ;2014;36607.618
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Diesel;TJ;2014;1228927.262
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Biodiesel;TJ;2014;75518.071
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Erdgas;TJ;2014;4605.671
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Flüssiggas (Autogas);TJ;2014;22866.529
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Biogas (Biomethan);TJ;2014;1148.874
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Strom;TJ;2014;249.018
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Energieverbrauch der Inländer insgesamt;TJ;2014;2211730.936
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Benzin;TJ;2015;30119.716
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Bioethanol;TJ;2015;1345.153
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Diesel;TJ;2015;689880.592
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Biodiesel;TJ;2015;37736.369
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Erdgas;TJ;2015;2708.985
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Flüssiggas (Autogas);TJ;2015;953.471
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Biogas (Biomethan);TJ;2015;448.815
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Strom;TJ;2015;236.893
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Alle Wirtschaftszweige;Energieverbrauch der Inländer insgesamt;TJ;2015;763429.992
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Benzin;TJ;2015;773421.444
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Bioethanol;TJ;2015;34546.146
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Diesel;TJ;2015;581285.346
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biodiesel;TJ;2015;31796.524
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Erdgas;TJ;2015;2126.074
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Flüssiggas (Autogas);TJ;2015;21063.662
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Biogas (Biomethan);TJ;2015;358.029
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Strom;TJ;2015;105.894
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Private Haushalte;Energieverbrauch der Inländer insgesamt;TJ;2015;1444703.12
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Benzin;TJ;2015;803541.16
Verkehr und Umwelt;Deutschland insgesamt;Energieverbrauch im Straßenverkehr, Energieträger in tiefer Gliederung, Übersicht;9.2024;Insgesamt;Bioethanol;TJ;2015;35891.299
