idx,id_ags,gen,geom_as_text,fl_km2
0,15090000,Stendal,"MULTIPOLYGON(((690454.238801873 5802550.33474544,690629.205562181 5804165.60270268,692014.80309812 5801950.56864982,691126.622390669 5801960.8100088,690454.238801873 5802550.33474544)),((687697.174907253 5809389.28217173,684944.526327468 5809876.14009181,685821.631402592 5811754.13840415,683441.788767136 5815537.67137405,679528.168874413 5816583.31724322,675773.72628824 5815205.14218262,676666.630423832 5818482.8590768,674462.095754336 5822979.4545054,675230.870001909 5832752.98932906,666397.648776878 5831185.60364078,662356.668873228 5832695.76447256,663520.516757585 5834646.77823916,668460.742000068 5836434.24722979,667243.285724886 5840394.67289422,670008.174009088 5842207.41525311,670278.238233069 5846617.50210873,672566.877869246 5848703.46797134,671602.573158032 5849960.02111761,669026.036394171 5850036.59507626,671259.774787418 5852868.93003085,670542.362629699 5854659.0535057,667046.622021641 5854670.09231293,666275.151529066 5857502.75782329,676811.110877401 5859416.36693445,675834.450808971 5862335.7515038,677300.432488892 5863892.9903595,672071.049891478 5868213.91875408,671461.373326004 5866577.87596728,668327.585068858 5868648.21743214,667764.513110607 5872506.01034835,668570.295458168 5876051.58535934,671551.698159681 5875179.42071181,674177.046179386 5879422.95595688,676287.001000964 5880144.35712377,676344.807598841 5876681.3760187,680061.732188621 5875813.98169075,681600.871818802 5873322.08350304,684111.748014813 5874535.43908212,687138.322160395 5871560.86398964,690115.095554831 5871232.96666696,691352.082466408 5870451.92801999,689871.746914838 5866757.56907747,693162.154694906 5865966.10484048,696677.126962354 5864222.68767528,699135.979535964 5863015.97870796,700797.844807543 5862660.32871095,702269.991230262 5863741.66122948,703298.238243659 5864352.08392355,704714.755633056 5864243.45903798,705075.209846812 5863931.29550058,709460.643207362 5862984.91791044,710180.053684143 5865005.50776411,710345.083195434 5864635.43821493,710312.948680536 5860578.47390892,715121.712932424 5863484.25193899,717711.987383256 5861527.91625765,719070.910575365 5854066.8836754,717123.028714775 5853785.98192778,716309.535591997 5850494.4236309,717575.888725005 5848193.19177157,716152.870670098 5846932.67546089,716312.46815456 5846466.53487922,719034.549896441 5840022.0320744,719045.810417827 5836017.11167682,714674.097157098 5835367.47669709,714902.138157848 5832223.0785985,715543.932021838 5829768.14135809,713110.677173045 5824449.69309781,716269.78867012 5825037.14014483,715235.513908088 5822085.42746236,711025.600071337 5822011.20197557,708512.470814705 5825577.704677,702960.989682571 5822970.57622846,703246.661538674 5827537.18867918,702496.190324879 5829272.01304974,700827.717965721 5822746.46709507,702762.936558196 5818456.03694036,703954.568480068 5816459.91584711,701790.961731514 5810098.29345514,699245.312582899 5808557.42602776,700156.109605481 5806854.82702001,698454.304665829 5806428.56272903,694313.429079743 5801747.64188875,694395.005972755 5804484.17546605,691835.940932432 5806171.09563837,693242.738195578 5809433.34601552,690571.560428628 5810408.73641008,689168.316370586 5811518.20714719,688659.209787421 5810763.85705172,689484.497260926 5810075.54046877,687697.174907253 5809389.28217173)))",2437.22115885049
1,15091000,Wittenberg,"MULTIPOLYGON(((758537.454094241 5729373.3059642,755056.427398909 5729936.01172089,752587.6215192 5725133.77832462,749819.798973705 5723899.14775277,750602.364226189 5725812.26845687,747792.705817435 5725522.4852927,746305.166137923 5726754.9507695,747139.117900579 5730100.16870974,743207.6717059 5729167.35512336,740168.639778335 5731418.65366016,740142.701956057 5733681.36053336,733627.0033546 5732739.97583446,731521.848254949 5731206.23614672,731103.058048263 5733340.51119567,732410.314826387 5733753.17206455,729768.401803347 5734875.96245389,730337.357538901 5736700.25904812,731399.318042213 5737061.78164967,730411.328312791 5742921.29647404,727953.354954683 5744396.22351825,728634.655671116 5748321.66730502,726105.246716612 5750726.24385683,727693.6035314 5753355.80563465,728234.694034549 5759573.32610645,727178.137798632 5760874.98994207,725374.968566005 5760051.28375402,725380.187120354 5762819.99452845,723522.435451349 5764656.57009575,728008.192213937 5766238.35036036,730121.029393741 5769342.60515363,731610.536223462 5768934.23932742,731506.996257299 5771437.37107558,735658.013417872 5768522.19124631,738732.977058136 5770465.64964026,740112.491089581 5767811.70528516,742659.690447965 5767063.0085659,743025.909670607 5765274.70866476,747414.183784684 5765066.75382754,750907.279691686 5768791.26039216,753955.367966534 5767799.00377306,758871.962639985 5765446.35886198,759382.249051676 5763894.72684478,764045.270476597 5764431.10676941,764827.100514 5760824.14197935,772237.37799105 5761211.99712255,773275.335358827 5757474.75872244,778279.542056096 5757709.9470576,777804.790074996 5754607.21148133,781167.814784402 5754916.81042119,784370.642501383 5756042.47620306,785793.752912753 5753572.38324022,783919.132076903 5753163.45423144,787576.899209941 5745579.95131292,786355.7067121 5742421.01757484,787311.467910806 5741986.54771237,786853.142386033 5740459.37497059,789202.802262727 5737711.16665293,786964.950620519 5737036.39775197,787613.027793281 5734829.78463279,780229.390307071 5729627.67765814,778387.380279455 5728369.12724077,777417.576840479 5731365.23223538,775457.797694767 5731752.15762948,772759.762741043 5728140.21919476,769899.361971132 5728898.13883252,769149.582901131 5731046.07014601,767377.313824991 5729749.56063065,766553.855474943 5732390.18058705,764753.688221757 5732580.29086058,763189.657431975 5730872.12830978,760984.309143917 5728576.91111676,758537.454094241 5729373.3059642)))",1944.57222563161
2,5374000,Oberbergischer Kreis,"MULTIPOLYGON(((411132.071325813 5641213.82923457,412834.961788116 5639480.19676158,412855.74022781 5633333.47547229,410553.746094744 5633971.89572476,408907.202308567 5631781.34820793,408440.37783664 5631216.31447121,405682.549446254 5630703.40878523,404753.332957693 5632335.76839224,402825.265958346 5630744.92627038,399564.474832834 5633283.32846341,396408.178931523 5632333.85946538,395301.933248372 5634642.2214145,391818.049070462 5637465.37605987,393091.346671301 5641023.59986941,391878.057696844 5643330.82851676,389576.120338182 5645133.35352213,387503.603174155 5645458.2526871,384471.646919804 5645663.4171184,382476.85109488 5648694.22509508,379522.913151732 5648018.36331704,377352.70390439 5649787.63306221,379418.320646575 5651661.61704141,379443.003472979 5654222.50996525,381603.512422111 5654206.25505842,382903.309669336 5656567.38263806,383725.190730371 5659156.55763063,382099.136099481 5660016.15217786,380883.199750389 5658880.26958054,379474.721760261 5660896.39247053,380874.380551616 5662838.77452703,379205.710004778 5663872.27200632,378863.636518461 5667448.63492721,380640.418411552 5667525.12671182,381556.241255772 5671162.42942822,380949.914124118 5674045.75589695,381796.213978662 5677751.44185852,385828.257558439 5678399.05260898,387894.241795291 5678369.19666449,388315.948665791 5675890.24626354,389983.144588152 5676306.86956226,390578.676500762 5674834.66975436,389856.085225582 5671691.09744762,391023.982162087 5668570.75170504,393520.612430259 5669080.45132414,393112.70517916 5666461.90213521,395211.348662765 5665387.93413242,394721.897971985 5662693.72051868,402133.404395286 5661925.34259276,402621.954052715 5659374.34075399,403757.376271867 5658342.51854669,408379.386929258 5660258.41551459,410053.537631843 5658716.68279747,409034.585228035 5657593.92000363,411232.967459156 5654287.98367965,410512.821708794 5651681.31549976,412169.599781653 5648097.87991752,414378.408820625 5648304.46536539,414698.275022141 5643844.96102472,411132.071325813 5641213.82923457)))",917.766238403804
3,8222000,Mannheim,"MULTIPOLYGON(((458251.439161198 5492471.46702961,461281.050507819 5493132.04128516,463491.011636985 5491278.7490245,467616.954604809 5485418.35461763,469700.628771171 5485324.1116839,469200.988143559 5482424.84561075,467114.124299214 5480631.37257883,469919.055222501 5478732.36544754,469752.689019706 5474949.75860589,469066.667804735 5473772.30937917,468790.139441003 5473842.649425,466646.629394533 5473349.45090076,463536.22510219 5473306.37817392,464259.299652473 5476209.29640605,461761.547488868 5476894.7384115,459575.95865094 5477746.38831746,461151.397670369 5479888.52304413,458261.456418839 5487850.16080314,458262.475134176 5491449.29195183,458251.439161198 5492471.46702961)))",144.986146216356
4,9775000,Neu-Ulm,"MULTIPOLYGON(((589943.196341493 5333291.68789752,589973.444945147 5332414.75535111,588757.724428408 5330707.75613191,585645.69965979 5330036.81003338,584596.149499374 5328979.71911514,582442.540186634 5331403.83092803,582371.095324218 5331580.32074499,581448.873097838 5335110.16555431,581126.197602864 5337328.61948375,580584.901655739 5339734.69248361,578756.70304564 5343529.67346977,579209.635628689 5345138.88935843,578831.998512503 5347149.50357471,576959.813393289 5350732.86244109,575027.828530238 5353545.3918245,574856.566235007 5354771.50660757,573911.576218434 5355696.3887166,571820.277108677 5358922.6326115,577110.930604322 5364589.77001949,576350.762357827 5367632.76102011,581653.241261952 5369962.34510345,583836.625522451 5367480.22127464,584443.795250644 5366351.5639946,587345.600157322 5365864.10863695,586221.240565558 5362005.04821891,586371.437864787 5359918.69798945,589373.74492152 5357674.76620591,591349.290497742 5355990.33455016,592281.384821674 5355207.99174532,594588.812253238 5356977.47241474,593129.74585462 5354869.83399119,594214.111227597 5353968.52281047,593863.61236232 5351766.43929702,595575.31062016 5350732.53331481,595583.778622659 5349082.34651997,597533.62786202 5346787.01725776,597245.635973361 5346411.115996,595444.83221359 5346579.98983377,594498.162629465 5342998.27050381,594420.660956483 5342607.21344515,592931.68828243 5339591.32038295,592257.181056414 5338445.79968577,591106.986392991 5338351.00587191,590800.025549883 5336934.66687568,590978.594154387 5335174.08101319,589943.196341493 5333291.68789752)))",515.382875751042
5,9776000,Lindau (Bodensee),"MULTIPOLYGON(((572458.58690557 5268495.83827475,572825.0448401 5266322.56368063,572444.957030745 5265009.8456426,568375.205258418 5265406.72395718,566124.755105303 5266276.2273119,565837.603217815 5264279.89593684,561375.627164028 5266343.20750015,561936.208400683 5270747.81372675,558395.391596264 5271600.82733466,555725.048092278 5266945.39136868,555436.434028411 5264872.00179902,554931.699900765 5264736.03645252,553622.816948914 5266609.65221429,551230.280833497 5265651.4583867,551120.68639885 5267266.02567886,549017.244404866 5267312.01449234,547309.828483074 5268735.25711538,545271.754996933 5270278.40999024,546602.075181726 5270165.45956415,548365.262202573 5270905.82852171,548060.275344653 5272474.95502562,552018.795392144 5273233.95548568,554754.921710504 5273118.7198484,555390.134612395 5273574.85585364,556202.134821897 5272524.18562258,560047.229354186 5276985.72333753,563075.23657943 5280753.85789464,565990.245701032 5280449.96258838,569269.757908119 5278685.71478695,570033.351450769 5278261.25898253,572689.817063379 5278248.75870568,574901.189352258 5281154.41311689,576215.266243357 5281640.83953545,579506.001844089 5281347.90267359,580729.918255174 5278886.55597514,580516.762547689 5277228.0785193,580919.342471241 5276770.47438906,580804.805171531 5276651.34653218,580315.32787856 5273803.74177875,579759.971422016 5273140.53390866,579826.771052832 5270198.07315631,572458.58690557 5268495.83827475)))",322.965112893462
6,9777000,Ostallgäu,"MULTIPOLYGON(((609423.315999106 5267949.30014278,611417.4842837 5271187.51313839,610725.237167277 5271443.83925552,610703.76977488 5273430.38340849,608971.035696474 5274178.03198668,612419.761334833 5276584.55149441,613115.353245496 5278903.69091214,613031.010627951 5279648.34495581,611464.729360783 5281287.43798183,612406.859041554 5282576.49763836,609457.513150396 5283044.8525017,609678.095937188 5285013.32247561,609298.129344256 5286986.16341354,608588.849946548 5287547.88346463,610189.239907677 5288536.09607853,608819.575669057 5290278.97002201,607473.369184301 5294924.86393349,604569.225127558 5296236.23433482,604152.190144554 5295742.51370079,601955.091051569 5296302.20839111,601159.865681103 5298652.76981064,599251.145511496 5301378.31406335,601441.69425887 5304385.79648605,602918.260546473 5304094.84697922,601519.541461589 5308178.51619899,602630.23756112 5308613.90137996,604187.65229533 5305922.25779254,607482.356589845 5308687.51527942,610978.722177592 5311581.09941466,610740.234568897 5310117.97546981,612196.648955898 5310251.22386949,613059.496248568 5314239.37241683,614057.502496803 5315645.89137717,616229.450018196 5315012.51038551,618492.750357914 5313945.13195458,621242.867671335 5312095.64109141,622798.468977474 5314388.33951989,623725.854261117 5319398.33043102,625099.041013323 5319399.92957661,626620.8995076 5321119.43427421,626001.576037337 5323064.38892396,627213.180267963 5324291.20345387,626703.383284112 5328579.16907362,629153.20984651 5329715.07515014,629640.994704002 5328681.00723508,630038.203114119 5330158.99857816,631247.843379378 5327718.55329342,634113.068914518 5329448.11956366,635215.574189309 5329240.5080181,630889.454014953 5322988.99508125,631217.825261033 5321631.08064224,634884.685698624 5321729.79068895,634821.239082424 5320147.40099373,636208.479136311 5316930.89367313,634930.248010043 5313295.35839951,633943.84727946 5312827.63136084,634409.669836076 5310849.80599649,632502.884388981 5310173.48452067,633871.318236118 5307562.50790124,632453.452128351 5304903.95231901,633786.545101557 5305008.55139242,632531.141322096 5303515.39026398,630850.100465094 5301553.37606144,632212.375298559 5300450.39313744,631929.210636682 5298859.08788912,630945.470172602 5295246.8442548,632270.841104914 5294031.27450193,633167.842890612 5291914.16595527,630244.214862244 5291443.31870927,630208.699339073 5286324.84563439,628722.596140787 5284992.4014497,630012.620426524 5283216.75133554,631701.480578743 5283147.26064262,637156.957341489 5287666.88045437,635264.19925158 5285347.75284669,633499.727915363 5280290.29415058,638158.600883369 5280865.04769057,643793.774286491 5280354.30612,642961.005637315 5277744.57650836,646743.43742189 5275498.61864332,644091.813228448 5271774.60184236,640852.545491251 5270482.06723019,641961.301548253 5266537.1760043,639470.156423343 5266103.55291239,633837.78775761 5263810.06679894,632280.440132028 5266085.94619187,627291.729066836 5267783.16714998,620186.631205817 5269714.85122024,618418.107330267 5265698.69730869,609423.315999106 5267949.30014278),(617174.076667055 5301859.84230183,621001.480567999 5301228.44499385,623260.107610477 5301575.8783812,623978.503923498 5299975.93659403,623535.248276621 5306729.5706776,622818.257430024 5308459.53024558,619753.510914632 5306798.30526912,616131.224076173 5304675.56151878,617174.076667055 5301859.84230183)))",1392.6241880014
7,9778000,Unterallgäu,"MULTIPOLYGON(((583208.214139809 5314262.8043712,584445.252196275 5318632.1879933,586307.564064158 5316684.04518611,584188.935179706 5313683.53917424,585468.01523367 5312973.23448134,583339.006684478 5312492.64398465,583208.214139809 5314262.8043712)),((584505.240301644 5319848.56623606,584979.288928592 5324143.17275435,584922.332691481 5327540.99419561,584904.80171915 5327923.42307657,584596.149499374 5328979.71911514,585645.69965979 5330036.81003338,588757.724428408 5330707.75613191,589973.444945147 5332414.75535111,589943.196341493 5333291.68789752,590978.594154387 5335174.08101319,590800.025549883 5336934.66687568,591106.986392991 5338351.00587191,592257.181056414 5338445.79968577,592931.68828243 5339591.32038295,594420.660956483 5342607.21344515,596251.872067711 5341740.613448,596263.844053926 5337619.78821301,597785.651096433 5338967.03244203,601374.302788209 5335226.24894071,602074.140990983 5336237.46869234,603405.756938578 5337143.12314407,604524.266021606 5338972.4254999,607330.135464548 5338614.25515674,607178.22984674 5340197.57325576,609753.96743634 5341227.49599662,610251.314668393 5341301.18520536,612803.1646482 5342431.56078435,613878.058556842 5340313.4274626,616580.554390719 5339562.44592293,616902.958781129 5341074.09727205,618247.319713464 5340462.54255899,617135.289228468 5339307.36384326,618698.043572396 5338721.05018989,614782.378182577 5336687.65587995,621016.207158113 5335988.33896682,622277.38652101 5336033.47175832,624237.230399145 5336944.51505396,625251.668975179 5336848.25224904,626540.931379217 5333816.58217255,625361.699869492 5332051.51034342,626066.37670625 5328285.96762909,626703.383284112 5328579.16907362,627213.180267963 5324291.20345387,626001.576037337 5323064.38892396,626620.8995076 5321119.43427421,625099.041013323 5319399.92957661,623725.854261117 5319398.33043102,622798.468977474 5314388.33951989,621242.867671335 5312095.64109141,618492.750357914 5313945.13195458,616229.450018196 5315012.51038551,614057.502496803 5315645.89137717,613059.496248568 5314239.37241683,612196.648955898 5310251.22386949,610740.234568897 5310117.97546981,610978.722177592 5311581.09941466,607482.356589845 5308687.51527942,604187.65229533 5305922.25779254,602630.23756112 5308613.90137996,601519.541461589 5308178.51619899,602918.260546473 5304094.84697922,601441.69425887 5304385.79648605,599251.145511496 5301378.31406335,597685.801219118 5301970.24218611,596501.1390414 5300723.0519334,594176.762885717 5301551.88164233,592470.965731914 5299213.34344687,588682.314300951 5300220.19007336,589203.439638097 5299275.19791092,584729.388363577 5296924.26614083,582822.768070731 5300543.70832764,581670.971464237 5299718.71021993,582422.586623516 5301940.68277362,581008.592851292 5300831.73577604,580525.630627541 5302169.11960196,582648.1556833 5303374.96746785,582809.557313507 5307510.91013381,582871.591657134 5307912.82581173,582911.189471566 5309911.10315781,586552.29537467 5307684.4551556,588678.416221101 5311514.43706932,590160.005361681 5314891.18279435,589687.359652331 5316617.58033192,591469.15409535 5318248.65113148,591706.554598247 5321732.08179821,591652.394688853 5322301.66191323,590322.706510364 5321960.0262923,584680.709347006 5319565.21044997,584505.240301644 5319848.56623606)))",1229.19481130456
8,9779000,Donau-Ries,"MULTIPOLYGON(((612570.63579906 5400983.69420422,609619.344994724 5395053.69543133,609439.281530761 5394803.16113004,607529.769965824 5399148.45453557,606475.772825153 5398235.70216666,604662.412847763 5400030.9212296,603827.194507219 5403083.42887471,605218.758010975 5402953.88424841,605054.322219543 5403837.64858881,604357.007198816 5406131.53849867,605802.140095821 5406939.47392683,606184.612718364 5407423.03761295,606264.073692858 5409781.71239537,604659.598582523 5410308.06653637,604855.917721156 5411203.99294486,606578.295846207 5411989.09162746,606512.769963307 5414407.93497445,606097.405710462 5414829.76823168,604405.495912362 5418178.07575874,606520.573312064 5419025.53617309,605757.321180738 5422322.84929781,602680.663443843 5425027.35390549,603165.110203767 5425905.06640834,604706.837785737 5426334.63715974,603913.466685465 5427560.12655725,604848.817860713 5428964.8640887,608777.527958537 5429620.68060414,611159.921207812 5429369.71133172,612944.716358114 5429396.96189217,613709.365946425 5432410.65848051,616618.844345529 5432519.10687375,617396.333300981 5430645.83602188,620076.352313046 5430603.86310877,620107.678167421 5426678.68192263,620171.074851034 5426709.93637873,622567.717529189 5425887.95414309,623443.684449863 5424423.90655918,623867.681928683 5424377.2358862,624551.178815531 5422069.25169773,622287.469283232 5420000.40748583,624286.872480302 5418367.44856011,625611.449737925 5417737.36661428,627372.936871127 5420610.17096399,630273.185062271 5419752.52618779,629693.880434701 5420789.39424632,631686.811057902 5422679.83416071,633080.629582529 5423430.09222251,634270.43409458 5419649.50509336,633040.557978738 5418049.12035243,633750.989152727 5417522.94297796,636607.946272292 5417295.8266624,636941.909681933 5415307.00743994,639740.891627816 5416151.87818979,642049.062695732 5414065.58083982,642107.374370693 5413947.69800358,644108.780917359 5413176.61328164,645057.210125905 5414240.30941675,645564.622978672 5413865.13315136,644544.863539662 5411791.87255577,646624.34260888 5411991.44168928,647238.113817608 5409595.97880627,643335.631283422 5407895.67743641,645884.555974608 5406019.06823002,644388.10434602 5404234.69112424,646854.483621628 5403207.58342795,645712.765650153 5399943.9903331,647228.02566408 5398498.31184853,645601.742790278 5398710.71190981,645716.34044041 5398114.88666957,647433.503609056 5392245.83080239,650213.735173078 5390076.66010507,649870.097320238 5389592.97435228,649591.2795277 5387932.50423905,649084.297667068 5387208.65439571,647654.522150223 5385957.90703496,646766.336723672 5385193.67456165,642258.881827574 5384394.18571394,641877.603916633 5383327.80099691,639142.387847731 5384628.60744238,638506.634632302 5388882.19387827,638305.63952305 5388933.28146061,635706.344964573 5387870.66747516,635722.714173347 5388518.97990878,631134.764339396 5386623.57255945,631144.569831694 5389144.69888343,630684.301262349 5389568.70812334,629199.916843956 5388104.7605836,628590.867241452 5388517.85404686,627892.213300584 5391418.14548063,627924.722355361 5389805.80738297,625955.869867775 5391130.2915719,625156.630127789 5390018.68550156,619387.815212686 5393692.61898091,619712.135783123 5394083.97155491,621526.87192483 5394657.53836879,620538.165240124 5396275.1524543,621960.106466596 5398370.05248903,621949.562658805 5399009.85924737,618675.180039631 5399586.63510965,618375.48670236 5401760.80531068,616227.594629164 5400123.57821102,613355.906081284 5401072.14203294,612570.63579906 5400983.69420422)))",1273.77555680022
9,9780000,Oberallgäu,"MULTIPOLYGON(((609423.315999106 5267949.30014278,607789.391027913 5262131.24744834,610609.215763644 5259208.99620911,611299.468241116 5254245.01030478,608344.913501984 5251836.55340314,608429.662582551 5248465.84681647,604885.768845729 5247247.79924408,600539.317608597 5239884.31747727,593211.881304224 5235958.38962265,588800.925644726 5235866.71044019,589117.203740125 5238701.67841522,591899.463452959 5240437.52645525,590633.683711183 5242156.47718207,593310.253409228 5248341.14086394,589180.185508509 5249435.50092766,588023.245089089 5246807.18737314,584494.056634683 5247523.24890269,583056.028951102 5245172.22898965,581720.202284645 5249488.30118762,580674.783883103 5251303.16204425,583365.333705427 5253402.51285875,582265.814579649 5256758.99739956,579649.718545537 5257441.54234192,578696.925079605 5259881.83260738,574982.236187638 5259688.97092014,572663.283170601 5263533.02519953,572825.0448401 5266322.56368063,572458.58690557 5268495.83827475,579826.771052832 5270198.07315631,579759.971422016 5273140.53390866,580315.32787856 5273803.74177875,580804.805171531 5276651.34653218,580919.342471241 5276770.47438906,581700.212846399 5280600.89542063,583418.699306434 5279775.50933457,584768.802763717 5280922.87319961,585482.658775596 5283949.90685576,583566.947604363 5287794.59475605,583757.837672216 5289367.88189827,579748.0461864 5293051.78358681,585202.686285211 5295769.56454093,584729.388363577 5296924.26614083,589203.439638097 5299275.19791092,588682.314300951 5300220.19007336,592470.965731914 5299213.34344687,594176.762885717 5301551.88164233,596501.1390414 5300723.0519334,597685.801219118 5301970.24218611,599251.145511496 5301378.31406335,601159.865681103 5298652.76981064,601955.091051569 5296302.20839111,604152.190144554 5295742.51370079,604569.225127558 5296236.23433482,607473.369184301 5294924.86393349,608819.575669057 5290278.97002201,610189.239907677 5288536.09607853,608588.849946548 5287547.88346463,609298.129344256 5286986.16341354,609678.095937188 5285013.32247561,609457.513150396 5283044.8525017,612406.859041554 5282576.49763836,611464.729360783 5281287.43798183,613031.010627951 5279648.34495581,613115.353245496 5278903.69091214,612419.761334833 5276584.55149441,608971.035696474 5274178.03198668,610703.76977488 5273430.38340849,610725.237167277 5271443.83925552,611417.4842837 5271187.51313839,609423.315999106 5267949.30014278),(596452.245559301 5283380.29037794,598920.093205328 5283267.57433931,602986.930427519 5285388.86339109,601738.410936811 5287321.7666562,603199.485216926 5290175.69251005,600424.033168167 5291410.41439672,596519.600044844 5292416.34989901,592680.518931101 5291520.01749574,592483.19442199 5290167.8928633,594549.740773299 5289379.52288643,594994.150391588 5286321.02100104,593681.265544719 5285304.29688147,596452.245559301 5283380.29037794)))",1527.52209873271
