industry_code_ranges,genisis_industry_code
1,CPA08-01
2,CPA08-02
3,CPA08-03
5,CPA08-05
6,CPA08-06
7-9,CPA08-07-01
10-12,CPA08-10-01
13-15,CPA08-13-01
16,CPA08-16
17,CPA08-17
18,CPA08-18
19,CPA08-19
20,CPA08-20
21,CPA08-21
22,CPA08-22
23,CPA08-23
24,CPA08-24-01
25,CPA08-25
26,CPA08-26
27,CPA08-27
28,CPA08-28
29,CPA08-29
30,CPA08-30
31-32,CPA08-31-01
33,CPA08-33
35,CPA08-35
36,CPA08-36-01
37-39,CPA08-37-01
41-42,CPA08-41-01
43,CPA08-43
45,CPA08-45-01
46,CPA08-46
47,CPA08-47
49,CPA08-49
50,CPA08-50
51,CPA08-51
52,CPA08-52
53,CPA08-53
55-56,CPA08-I
58-63,CPA08-J
64-66,CPA08-K
68,CPA08-L
69-75,CPA08-M
77-82,CPA08-N
84,CPA08-O
85,CPA08-P
86-88,CPA08-Q
90-99,CPA08-R-01
