,year,total_consumption
0,2017,150057.94130123712
0,2018,231738.92578727257
0,2019,375184.95399904426
0,2020,837580.7800069738
0,2021,1656221.362599524
0,2022,2702217.874332514
0,2023,3727942.4467257727
0,2024,4392045.792630758
0,2025,10382935.928227967
0,2026,17145155.73789439
0,2027,23907375.54756081
0,2028,30669595.35722723
0,2029,37431815.166893646
0,2030,44194034.97656007
0,2031,47069309.54130012
0,2032,49944584.10604017
0,2033,52819858.67078023
0,2034,55695133.23552027
0,2035,58570407.800260335
0,2036,62510598.87045967
0,2037,66450789.940659
0,2038,70390981.01085833
0,2039,74331172.08105767
0,2040,78271363.151257
0,2041,85406303.73783416
0,2042,92541244.32441133
0,2043,99676184.91098848
0,2044,106811125.49756567
0,2045,113946066.08414283
