,year,total_consumption
0,2017,150057.94130123712
0,2018,231738.92578727257
0,2019,375184.95399904426
0,2020,837580.7800069738
0,2021,1656221.362599524
0,2022,2702217.874332514
0,2023,3727942.4467257727
0,2024,4392045.792630758
0,2025,8519332.043674229
0,2026,13204964.667695057
0,2027,17890597.291715883
0,2028,22576229.91573671
0,2029,27261862.53975754
0,2030,31947495.163778357
0,2031,34343557.301061735
0,2032,36739619.43834512
0,2033,39135681.5756285
0,2034,41531743.71291187
0,2035,43927805.850195244
0,2036,49838092.45549424
0,2037,55748379.06079324
0,2038,61658665.66609225
0,2039,67568952.27139124
0,2040,73479238.87669024
0,2041,77951888.19961922
0,2042,82424537.52254818
0,2043,86897186.84547713
0,2044,91369836.16840613
0,2045,95842485.4913351
