year,total_consumption
2017,164786.076
2018,260447.25000000003
2019,418936.78260000004
2020,890204.4585000002
2021,1710074.1588
2022,2692617.7572000003
2023,3676231.9776
2024,4309741.59
2025,10122451.325
2026,15935161.059999999
2027,21747870.795
2028,27560580.53
2029,33373290.265
2030,39186000.0
2031,45166509.15056001
2032,51147018.30112
2033,57127527.45167999
2034,63108036.60224
2035,69088545.75279999
2036,75069054.90335998
2037,81049564.05392
2038,87030073.20448
2039,93010582.35504
2040,98991091.50559998
2041,104971600.65616
2042,110952109.80671999
2043,116932618.95728
2044,122913128.10784
2045,128893637.25840002
