year,total_consumption
2017,164786.076
2018,260447.25000000003
2019,418936.78260000004
2020,890204.4585000002
2021,1710074.1588
2022,2692617.7572000003
2023,3676231.9776
2024,4309741.59
2025,8359680.0
2026,12957503.999999998
2027,17555328.0
2028,22153152.0
2029,26750976.0
2030,31348800.0
2031,33699960.0
2032,36051120.0
2033,38402280.0
2034,40753440.0
2035,43104600.0
2036,48904128.0
2037,54703656.0
2038,60503184.0
2039,66302712.0
2040,72102240.0
2041,76491072.0
2042,80879904.0
2043,85268736.0
2044,89657568.0
2045,94046400.0
