year,trend,ambit,regio
2024,1649725,1649725,1649725
2025,3200000.0,4900000.0,3900000.0
2026,4960000.0,7240000.0,6440000.0
2027,6720000.0,9580000.0,8980000.0
2028,8480000.0,11920000.0,11520000.0
2029,10240000.0,14260000.0,14060000.0
2030,12000000.0,16600000.0,16600000.0
2031,12900000.0,17980000.0,17680000.0
2032,13800000.0,19360000.0,18760000.0
2033,14700000.0,20740000.0,19840000.0
2034,15600000.0,22120000.0,20920000.0
2035,16500000.0,23500000.0,22000000.0
2036,18720000.0,25240000.0,23480000.0
2037,20940000.0,26980000.0,24960000.0
2038,23160000.0,28720000.0,26440000.0
2039,25380000.0,30460000.0,27920000.0
2040,27600000.0,32200000.0,29400000.0
2041,29280000.0,34320000.0,32080000.0
2042,30960000.0,36440000.0,34760000.0
2043,32640000.0,38560000.0,37440000.0
2044,34320000.0,40680000.0,40120000.0
2045,36000000.0,42800000.0,42800000.0
