year,trend,ambit,regio
2024,1435646.8818253828,1435646.8818253828,1435646.8818253828
2025,2865916.38724,4388434.46796125,3492835.59694875
2026,4442170.400222,6484135.8261305,5767656.7293205
2027,6018424.413203999,8579837.18429975,8042477.86169225
2028,7594678.426186,10675538.542469,10317298.994064
2029,9170932.439167999,12771239.900638249,12592120.12643575
2030,10747186.45215,14866941.258807499,14866941.258807499
2031,11553225.43606125,16102867.70080475,15834188.039501
2032,12359264.4199725,17338794.142802,16801434.820194498
2033,13165303.40388375,18574720.58479925,17768681.600888
2034,13971342.387795,19810647.0267965,18735928.3815815
2035,14777381.37170625,21046573.46879375,19703175.162275
2036,16765610.865354,22604915.504355498,21028661.491373498
2037,18753840.35900175,24163257.53991725,22354147.820472
2038,20742069.8526495,25721599.575479,23679634.1495705
2039,22730299.34629725,27279941.61104075,25005120.478669
2040,24718528.839945,28838283.6466025,26330606.8077675
2041,26223134.943246,30736953.253149,28730811.782081
2042,27727741.046547,32635622.859695498,31131016.756394498
2043,29232347.149848,34534292.466242,33531221.730708
2044,30736953.253149,36432962.0727885,35931426.7050215
2045,32241559.35645,38331631.679335,38331631.679335
