,year,total_consumption
0,2017,150057.94130123712
0,2018,231738.92578727257
0,2019,375184.95399904426
0,2020,837580.7800069738
0,2021,1656221.362599524
0,2022,2702217.874332514
0,2023,3727942.4467257727
0,2024,4392045.792630758
0,2025,10315766.319646124
0,2026,16239486.84666149
0,2027,22163207.373676855
0,2028,28086927.900692225
0,2029,34010648.42770758
0,2030,39934368.954722956
0,2031,46029093.064240634
0,2032,52123817.17375832
0,2033,58218541.28327599
0,2034,64313265.392793685
0,2035,70407989.50231135
0,2036,76502713.61182903
0,2037,82597437.72134672
0,2038,88692161.8308644
0,2039,94786885.94038208
0,2040,100881610.04989973
0,2041,106976334.15941742
0,2042,113071058.26893511
0,2043,119165782.37845281
0,2044,125260506.48797049
0,2045,131355230.59748816
