,year,total_consumption
0,2017,150057.94130123712
0,2018,231738.92578727257
0,2019,375184.95399904426
0,2020,837580.7800069738
0,2021,1656221.362599524
0,2022,2702217.874332514
0,2023,3727942.4467257727
0,2024,4392045.792630758
0,2025,13045227.191876166
0,2026,19274988.748812947
0,2027,25504750.305749726
0,2028,31734511.862686507
0,2029,37964273.419623286
0,2030,44194034.97656007
0,2031,47867996.920394585
0,2032,51541958.8642291
0,2033,55215920.808063604
0,2034,58889882.751898125
0,2035,62563844.69573262
0,2036,67196231.49448049
0,2037,71828618.29322836
0,2038,76461005.09197623
0,2039,81093391.8907241
0,2040,85725778.68947193
0,2041,91369836.16840613
0,2042,97013893.6473403
0,2043,102657951.12627448
0,2044,108302008.60520867
0,2045,113946066.08414283
