,year,total_consumption
0,2017,78491.38888888889
0,2018,133063.61111111112
0,2019,203122.77777777778
0,2020,353962.5
0,2021,681186.1111111112
0,2022,1593754.1666666665
0,2023,7419185.480917867
0,2024,13244616.79516908
0,2025,19070048.1094203
0,2026,24895479.4236715
0,2027,30720910.737922706
0,2028,36546342.05217392
0,2029,42371773.36642512
0,2030,48197204.680676326
0,2031,54022635.99492753
0,2032,59848067.30917874
0,2033,65673498.623429954
0,2034,71498929.93768117
0,2035,77324361.25193237
0,2036,83149792.5661836
0,2037,88975223.8804348
0,2038,94800655.19468597
0,2039,100626086.5089372
0,2040,106451517.82318842
0,2041,112276949.13743962
0,2042,118102380.45169084
0,2043,123927811.76594204
0,2044,129753243.08019324
0,2045,135578674.39444444
