year,total_stock
2025,3433129.0055479165
2026,5433299.817475833
2027,7433470.6294037495
2028,9433641.441331666
2029,11433812.253259582
2030,13433983.065187499
2031,15464007.172815833
2032,17494031.280444164
2033,19524055.3880725
2034,21554079.49570083
2035,23584103.603329167
2036,25614127.710957497
2037,27644151.81858583
2038,29674175.926214166
2039,31704200.0338425
2040,33734224.141470835
2041,35764248.249099165
2042,37794272.356727496
2043,39824296.464355834
2044,41854320.571984164
2045,43884344.6796125
