,industry,cts,nuts3
0,109889.8629612947,386324.58108552865,DEF01
1,173516.16905269015,1948278.170916983,DEF02
2,245005.00276002445,527706.8061276617,DEF03
3,134740.02472390965,405562.01998540555,DEF04
4,1023094.5484637782,444248.3379002766,DEF05
5,143094.17809405774,535613.6354751167,DEF06
6,88492.20750639528,1370951.6018714923,DEF07
7,131967.74933628843,603166.6362779894,DEF08
8,398973.891608567,1717325.1469670662,DEF09
9,66270.61618984732,220773.07237791535,DEF0A
10,164906.47268015752,1084088.5760699252,DEF0B
11,169029.16090341716,562258.5629247238,DEF0C
12,370239.7713488446,949637.4043275679,DEF0D
13,977811.2306625358,1258865.168742089,DEF0E
14,307574.7901611497,537084.0745698041,DEF0F
15,6014837.938732301,12734582.338895973,DE600
16,386020.8978486047,1928098.386076567,DE911
17,960792.9444408738,1091404.4096569382,DE912
18,2186372.2688297606,1025262.0861419424,DE913
19,146713.52870579588,375768.51673521684,DE914
20,279978.11917263124,444192.0878515846,DE916
21,91327.6594202593,587647.4247778007,DE917
22,278146.92495735263,333621.2938343647,DE918
23,1283072.5853074752,524792.2236281821,DE91A
24,88024.27620953586,271159.16005102836,DE91B
25,729424.6685396958,1106072.496686059,DE91C
26,1819776.3958116288,7060893.339478888,DE929
27,350718.6875356057,585595.7812957267,DE922
28,175980.50075271234,707176.155331029,DE923
29,780639.2925252148,969839.5880226851,DE925
30,289419.10437847005,134871.05449134146,DE926
31,661408.1100914308,414730.4718716017,DE927
32,247853.44666753404,386802.3329048182,DE928
33,273149.75455847883,393666.1545275794,DE931
34,111303.12970361201,627108.7063471818,DE932
35,98052.69898330736,586281.763705658,DE933
36,142046.80440607033,191232.615498044,DE934
37,200300.6227669258,574753.0631673486,DE935
38,46358.72599396591,154894.72561064252,DE936
39,304790.61998991296,615371.0561223165,DE937
40,279946.27138233586,616094.4743735676,DE938
41,5748924.050605715,557999.845787381,DE939
42,171038.1465264195,303206.53882258397,DE93A
43,249244.02707815962,560990.2125346618,DE93B
44,126590.63719397415,173309.0391821002,DE941
45,367553.3785057192,481219.8875020211,DE942
46,124377.6564462029,2089222.3330249325,DE943
47,503436.69028979103,1959278.1138302367,DE944
48,125807.04546205413,585035.4075314113,DE945
49,216579.43285469484,331089.9288388925,DE946
50,137159.75970423312,2636181.8207138875,DE947
51,580785.3522592657,599485.8197417107,DE948
52,2370258.330638014,2038812.3251423026,DE949
53,404590.5074532539,285338.7721710463,DE94A
54,369764.59358392615,364339.52408922464,DE94B
55,219294.458703336,477084.97157453734,DE94C
56,372575.7812783667,380130.7251254531,DE94D
57,1623621.9401956592,1064729.6306152144,DE94E
58,899552.0496797863,473250.36944053305,DE94F
59,1073754.1486193337,473375.7730945326,DE94G
60,26905.292952744272,152054.74657112733,DE94H
61,2475187.713470054,3315944.246367588,DE501
62,150426.7818020588,677585.2903518518,DE502
63,731432.0029222023,6315023.392727724,DEA11
64,6489876.265491813,2896882.5875127083,DEA12
65,3202202.152073089,7680151.370364904,DEA13
66,2342036.599945737,1107083.5589896357,DEA14
67,358107.1078528279,487570.64453043183,DEA15
68,339395.20350842515,534440.4034083328,DEA16
69,1001210.7002499652,455712.68910284806,DEA17
70,304166.40606377943,191554.72208022323,DEA18
71,323645.3602826861,351403.29291880893,DEA19
72,471114.0144792595,1388339.4805923046,DEA1A
73,430009.81371845334,788815.7849551943,DEA1B
74,1111638.7517112945,1715384.2980613436,DEA1C
75,7585672.900539976,3547199.3467475143,DEA1D
76,324985.5963775167,604009.0162370945,DEA1E
77,3023107.2109352606,1881566.7438590091,DEA1F
78,224394.35213400904,1408836.9961281444,DEA22
79,3139828.4071131265,7328143.77144436,DEA23
80,1774614.5677185804,281202.1910114776,DEA24
81,1550756.152711336,3442343.624941337,DEA2D
82,2546587.1258133105,1004577.881734216,DEA26
83,5985244.729055404,3367213.045569527,DEA27
84,593490.9105312753,714734.8076878575,DEA28
85,391512.11332294764,597917.675174562,DEA29
86,807212.7871509551,804231.1789049503,DEA2A
87,1172133.2625771014,443972.85402642726,DEA2B
88,1431443.9378369364,1481936.097710898,DEA2C
89,379147.2296103828,176163.71582658467,DEA31
90,2747854.394071331,1779917.1926428434,DEA32
91,363499.41829675506,2761947.879664322,DEA33
92,1103488.161857325,1217852.6864236847,DEA34
93,256362.90627595913,400779.0555329718,DEA35
94,3257475.184925545,1578877.8728799804,DEA36
95,1531362.9421079322,1356671.4698760905,DEA37
96,746275.339243601,616325.3152445448,DEA38
97,558162.2364444168,976030.6856337948,DEA41
98,1583771.1369665256,1290181.2603050866,DEA42
99,522459.13120165595,824318.196566117,DEA43
100,350231.1521948019,342973.60946890735,DEA44
101,573250.9435178249,1073305.072283456,DEA45
102,549400.9881511985,955892.7095080509,DEA46
103,616342.5292086217,990075.4449999598,DEA47
104,684365.3165303414,1438257.3830656982,DEA51
105,934863.9971436528,4520590.586396517,DEA52
106,1259521.3509094466,509003.191948841,DEA53
107,526696.3823796343,963582.2677121167,DEA54
108,414984.56796623627,934874.8813293454,DEA55
109,1254953.25313778,1365959.5436212437,DEA56
110,1218337.9755212117,1221848.4418572164,DEA57
111,2339509.2208769303,1354623.297839947,DEA58
112,633280.5484602279,359118.1498539109,DEA59
113,1578334.6895039275,1053489.092805582,DEA5A
114,1291048.3009804252,856472.6406351574,DEA5B
115,932937.0321647618,1959989.426953359,DEA5C
116,484124.380992351,2412213.749219307,DE711
117,1661273.7788896374,7323033.896014289,DE712
118,117622.07695609384,438383.9225991775,DE713
119,759294.1742989656,1534457.4938203588,DE714
120,327734.747921721,1350240.3616753314,DE715
121,366727.3213230741,389029.2520741656,DE716
122,564912.5132870754,632119.8553563291,DE717
123,336285.22355187073,697910.3870322808,DE718
124,517107.68367486197,1414109.1420447964,DE719
125,140960.27157228932,731523.9125229432,DE71A
126,243301.6186564821,145735.24399005622,DE71B
127,291157.2392469955,1717987.5452532892,DE71C
128,121361.88035534824,466026.4684655561,DE71D
129,291788.5580265004,1099916.1184827345,DE71E
130,330108.8179981441,535151.5480856895,DE721
131,944274.3678432925,688299.5067576247,DE722
132,182926.87013835047,439688.0953792181,DE723
133,1164805.5724541424,834165.4461825549,DE724
134,170809.16819002206,209505.2893805027,DE725
135,237794.20499279536,2199555.651347043,DE731
136,765557.6438700922,1049388.3010072669,DE732
137,665541.5145039712,799983.0096523752,DE733
138,931707.1180815385,833176.3804298434,DE734
139,283350.5017836684,465214.57598191814,DE735
140,559475.5475221843,727285.6341310792,DE736
141,234037.88309230297,314543.5198093866,DE737
142,327295.57542299706,1347116.95288233,DEB11
143,147168.16225113324,219297.2255057324,DEB12
144,216768.5793355852,205079.66964449993,DEB13
145,529807.6642139148,456249.5238692445,DEB14
146,118334.78474853965,334578.5713084693,DEB15
147,89741.95093071357,178800.498607433,DEB16
148,1172558.123548114,853887.4798400373,DEB17
149,348924.5595797559,653451.8043728366,DEB18
150,158615.91092602402,254630.79974855235,DEB19
151,206743.5211190795,226261.7833652829,DEB1A
152,494029.5267528849,345493.6642775375,DEB1B
153,228438.99594252263,1382145.1624302864,DEB21
154,504601.3090157671,313084.5662883046,DEB22
155,199645.83031408832,198293.41044397623,DEB23
156,182853.6385145485,173483.3145291001,DEB24
157,121864.8986920509,229033.73250056428,DEB25
158,109495.32906927733,317916.63045890635,DEB31
159,339125.6584800952,621528.7735610195,DEB32
160,115676.2119734552,244765.0335679946,DEB33
161,7375867.502299546,1567095.26001044,DEB34
162,622982.6574628038,1469831.118510774,DEB35
163,26975.275113539323,104440.73323779431,DEB36
164,104633.84924148407,362020.0527156803,DEB37
165,139729.30735890556,498544.8859532217,DEB38
166,685214.0026999809,378213.1349726804,DEB39
167,81392.62002127062,85488.36029223149,DEB3A
168,129375.30086815383,209290.75399971163,DEB3B
169,262173.1275468714,357797.2263968433,DEB3C
170,313635.2267924768,178596.67971746554,DEB3D
171,742170.7126661903,892418.0172880065,DEB3E
172,123880.90450382518,297788.9277312007,DEB3F
173,82444.63240690141,149936.05413788705,DEB3G
174,174113.6236254854,208660.58532416596,DEB3H
175,79189.6879428046,482259.33094192634,DEB3I
176,267283.8896990789,776638.9676057356,DEB3J
177,54799.919590715355,119527.4733841079,DEB3K
178,1232921.5954990971,6849447.577993735,DE111
179,922521.3275781906,1202440.5330520326,DE112
180,1269648.0038147774,1685715.353164887,DE113
181,494851.4793115335,857977.7567958232,DE114
182,841811.9397067897,1524023.3465800525,DE115
183,633223.4633209129,1024433.0088704946,DE116
184,297668.96374087833,921737.1637446244,DE117
185,1222591.9468907118,1470534.2656259278,DE118
186,366855.96446819,244360.2863194453,DE119
187,561246.2596610219,898652.4546680207,DE11A
188,341938.0095168167,300893.36962646095,DE11B
189,427109.44557383686,319130.9594570378,DE11C
190,1387851.4671914682,617464.407969147,DE11D
191,105165.28259075992,383121.6976834977,DE121
192,1513885.2007299494,2226262.9097978375,DE122
193,804294.7591936763,2064650.2948659477,DE123
194,1272186.749045884,640675.5618663484,DE124
195,177409.96953890694,564734.0340159152,DE125
196,1496134.0803641523,3339209.5584175778,DE126
197,266587.9561944401,511040.4165921366,DE127
198,881088.0884291582,1235473.4036436053,DE128
199,254599.76763175396,397711.1841810703,DE129
200,203308.9789775125,462545.51045512734,DE12A
201,502456.1919237561,331176.5650949646,DE12B
202,427416.3200950393,271796.7925344202,DE12C
203,283595.6202162631,1622643.9574680885,DE131
