,cts,industry
2022-01-01,1899668.870477124,1012741.873390351
2022-01-02,2094369.8456162142,1012741.873390351
2022-01-03,2349990.015970122,1023785.9379480667
2022-01-04,2426373.371198004,1023785.9379480667
2022-01-05,2450765.9502028544,1023785.9379480667
2022-01-06,2459173.1475959155,1019346.6118294285
2022-01-07,2484698.5960867507,1023785.9379480667
2022-01-08,2238918.792990975,1015653.4986504853
2022-01-09,2217526.7444679416,1012741.873390351
2022-01-10,2308682.8590063914,1023785.9379480667
2022-01-11,2297543.611412991,1023785.9379480667
2022-01-12,2343447.527525012,1023785.9379480667
2022-01-13,2387181.968739585,1023785.9379480667
2022-01-14,2277988.067522125,1023785.9379480667
2022-01-15,2032201.7848513674,1015653.4986504853
2022-01-16,2072966.9295871747,1012741.873390351
2022-01-17,2090092.4706593463,1023785.9379480667
2022-01-18,1997099.6670753574,1023785.9379480667
2022-01-19,1924251.9959099747,1023785.9379480667
2022-01-20,1989446.3859339738,1023785.9379480667
2022-01-21,2128979.89385118,1023785.9379480667
2022-01-22,2029107.1394198604,1015653.4986504853
2022-01-23,2187078.754064949,1012741.873390351
2022-01-24,2404469.704262991,1023785.9379480667
2022-01-25,2463176.438008248,1023785.9379480667
2022-01-26,2609571.1200645748,1023785.9379480667
2022-01-27,2653807.969837033,1023785.9379480667
2022-01-28,2359680.9526977115,1023785.9379480667
2022-01-29,1978318.2550199174,1015653.4986504853
2022-01-30,2060092.058401627,1012741.873390351
2022-01-31,2238349.0608891468,1023785.9379480667
2022-02-01,2250557.6727118846,1023785.9379480667
2022-02-02,2191485.9310453963,1023785.9379480667
2022-02-03,2100944.884225166,1023785.9379480667
2022-02-04,1999222.0738106275,1023785.9379480667
2022-02-05,1795606.0331181125,1015653.4986504853
2022-02-06,1824112.6385464596,1012741.873390351
2022-02-07,2110875.6847979845,1023785.9379480667
2022-02-08,2336037.7142560487,1023785.9379480667
2022-02-09,2429786.8598625017,1023785.9379480667
2022-02-10,2500899.244134089,1023785.9379480667
2022-02-11,2465109.4725286993,1023785.9379480667
2022-02-12,2183430.595643419,1015653.4986504853
2022-02-13,2194419.692486608,1012741.873390351
2022-02-14,2354432.770183691,1023785.9379480667
2022-02-15,2399431.286185093,1023785.9379480667
2022-02-16,2376270.51449627,1023785.9379480667
2022-02-17,2350434.7098454772,1023785.9379480667
2022-02-18,2107734.753908456,1023785.9379480667
2022-02-19,1763504.7997057128,1015653.4986504853
2022-02-20,1798182.4366911433,1012741.873390351
2022-02-21,1951302.8915304153,1023785.9379480667
2022-02-22,1839926.7017451848,1023785.9379480667
2022-02-23,1742343.21455664,1023785.9379480667
2022-02-24,1665265.8270946238,1023785.9379480667
2022-02-25,1503460.2764922595,1023785.9379480667
2022-02-26,1317930.0589743264,1015653.4986504853
2022-02-27,1345311.7496288042,1012741.873390351
2022-02-28,1378085.9877920283,1023785.9379480667
2022-03-01,1489136.5439739244,1023785.9379480667
2022-03-02,1611310.6456475689,1023785.9379480667
2022-03-03,1746329.783412635,1023785.9379480667
2022-03-04,1884072.2860334788,1023785.9379480667
2022-03-05,1849337.8810579123,1015653.4986504853
2022-03-06,1992290.6458779483,1012741.873390351
2022-03-07,2281032.38358716,1023785.9379480667
2022-03-08,2314824.5225567645,1023650.4223054812
2022-03-09,2322065.481674365,1023785.9379480667
2022-03-10,2306395.385979206,1023785.9379480667
2022-03-11,2206181.4905070327,1023785.9379480667
2022-03-12,1853025.8186855016,1015653.4986504853
2022-03-13,1711818.1547035368,1012741.873390351
2022-03-14,1694748.2708027912,1023785.9379480667
2022-03-15,1660583.348434913,1023785.9379480667
2022-03-16,1600751.5318757151,1023785.9379480667
2022-03-17,1470722.8774233258,1023785.9379480667
2022-03-18,1176580.849974916,1023785.9379480667
2022-03-19,830144.7447630677,1015653.4986504853
2022-03-20,675094.805997549,1012741.873390351
2022-03-21,736506.829366049,1023785.9379480667
2022-03-22,878297.9572725274,1023785.9379480667
2022-03-23,918372.3640038965,1023785.9379480667
2022-03-24,868389.0705521408,1023785.9379480667
2022-03-25,653093.3222376106,1023785.9379480667
2022-03-26,593275.6992390783,1015653.4986504853
2022-03-27,779118.247187807,1012741.873390351
2022-03-28,938629.7040947229,1023785.9379480667
2022-03-29,940400.3144750614,1023785.9379480667
2022-03-30,848535.9725619081,1023785.9379480667
2022-03-31,976676.7124637922,1023785.9379480667
2022-04-01,1204482.832005787,1023785.9379480667
2022-04-02,1150858.6233920418,1015653.4986504853
2022-04-03,1094204.4986919237,1012741.873390351
2022-04-04,1093268.2923330222,1023785.9379480667
2022-04-05,1135018.4953884103,1023785.9379480667
2022-04-06,1025489.7372808182,1023785.9379480667
2022-04-07,878855.7193112001,1023785.9379480667
2022-04-08,812925.0938042798,1023785.9379480667
2022-04-09,781369.2452870584,1015653.4986504853
2022-04-10,903956.3612467883,1012741.873390351
2022-04-11,1166508.7897008685,1023785.9379480667
2022-04-12,1240529.613183303,1023785.9379480667
2022-04-13,1148433.984964011,1023785.9379480667
2022-04-14,1117814.801543114,1023785.9379480667
2022-04-15,1001703.2114457679,1012741.873390351
2022-04-16,982378.1584412385,1015653.4986504853
2022-04-17,976717.6040043172,1012741.873390351
2022-04-18,808370.374494328,1012741.873390351
2022-04-19,869163.1778048895,1023785.9379480667
2022-04-20,873745.9306708609,1023785.9379480667
2022-04-21,1054567.9679217814,1023785.9379480667
2022-04-22,1147631.6303765331,1023785.9379480667
2022-04-23,969427.0930507322,1015653.4986504853
2022-04-24,783708.0384108516,1012741.873390351
2022-04-25,557885.0321547377,1023785.9379480667
2022-04-26,526804.7956433276,1023785.9379480667
2022-04-27,529347.1209454833,1023785.9379480667
2022-04-28,458263.0525059873,1023785.9379480667
2022-04-29,341918.86765469733,1023785.9379480667
2022-04-30,325121.60081213096,1015653.4986504853
2022-05-01,410164.26764904574,1012741.873390351
2022-05-02,565316.6608548149,1023785.9379480667
2022-05-03,775464.6234563147,1023785.9379480667
2022-05-04,927750.0796452864,1023785.9379480667
2022-05-05,1053481.4041830604,1023785.9379480667
2022-05-06,1150951.997979669,1023785.9379480667
2022-05-07,1059446.7539228296,1015653.4986504853
2022-05-08,941992.8069635327,1012741.873390351
2022-05-09,863174.8478442037,1023785.9379480667
2022-05-10,868661.6493387115,1023785.9379480667
2022-05-11,843749.2814506646,1023785.9379480667
2022-05-12,885811.186048227,1023785.9379480667
2022-05-13,970428.659481634,1023785.9379480667
2022-05-14,910950.4666574235,1015653.4986504853
2022-05-15,949318.0218598652,1012741.873390351
2022-05-16,920298.3380905236,1023785.9379480667
2022-05-17,851726.3120431448,1023785.9379480667
2022-05-18,875007.4942262371,1023785.9379480667
2022-05-19,870412.4359664446,1023785.9379480667
2022-05-20,776685.7575950124,1023785.9379480667
2022-05-21,574037.1498508661,1015653.4986504853
2022-05-22,473246.5913346785,1012741.873390351
2022-05-23,393479.6518335924,1023785.9379480667
2022-05-24,371631.07129794353,1023785.9379480667
2022-05-25,432600.7617219817,1023785.9379480667
2022-05-26,483731.00105229113,1012741.873390351
2022-05-27,523857.5725884712,1023785.9379480667
2022-05-28,467358.1080549037,1015653.4986504853
2022-05-29,439776.6594225112,1012741.873390351
2022-05-30,467466.35897687834,1023785.9379480667
2022-05-31,602493.4793905552,1023785.9379480667
2022-06-01,580598.3550793213,1023785.9379480667
2022-06-02,556058.9653323886,1023785.9379480667
2022-06-03,479796.19223480707,1023785.9379480667
2022-06-04,369386.8394656858,1015653.4986504853
2022-06-05,315707.8516125888,1012741.873390351
2022-06-06,275897.0723652135,1012741.873390351
2022-06-07,300536.65277257666,1023785.9379480667
2022-06-08,295108.3345065993,1023785.9379480667
2022-06-09,279301.0573938822,1023785.9379480667
